target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,46015,Brule County,4.0,3.0,2.0,2.0,,,,,,,,,,,,63.0,64.0,85.0,77.0,80.0,128.0,164.0,194.0,199.0,234.0,,30.0,32.0,34.0,30.0,76.0,74.0,73.0,73.0,57.0,,,,,,51.0,48.0,53.0,53.0,59.0,,,,,,47.0,50.0,49.0,53.0,190.0,,,,,,408.0,426.0,432.0,472.0,452.0,12.0,13.0,39.0,11.0,11.0,273.0,286.0,291.0,298.0,283.0,98.0,101.0,99.0,102.0,103.0,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,26.0,27.0,26.0,23.0,22.0,15.0,14.0,14.0,13.0,14.0,,3.0,3.0,3.0,4.0,15.0,15.0,14.0,14.0,14.0,,,,,,17.0,18.0,11.0,11.0,14.0,,,,,,7.0,7.0,7.0,8.0,8.0,,,,,,27.0,26.0,28.0,26.0,24.0,5.0,7.0,7.0,5.0,6.0,30.0,29.0,29.0,30.0,26.0,26.0,24.0,24.0,23.0,23.0,,,,,2192.34,2192.4,2192.34,2192.45,2192.31,43.68,43.68,43.68,43.68,43.68,-99.05,-99.05,-99.05,-99.05,-99.05,127.0,130.0,110.0,139.0,,,,,,,,,,,,2190.0,2121.0,2388.0,2534.0,2500.0,5845.0,6234.0,6283.0,6704.0,7614.0,,1716.0,1667.0,1801.0,1782.0,3693.0,3716.0,3733.0,3811.0,3358.0,,,,,,1231.0,1514.0,1458.0,1730.0,2006.0,,,,,,1912.0,2128.0,2084.0,3745.0,10173.0,,,,,,15389.0,16148.0,16817.0,16820.0,18296.0,244.0,838.0,1107.0,507.0,599.0,4305.0,4069.0,4465.0,4659.0,4694.0,2695.0,2621.0,2667.0,2764.0,2848.0,,,,,0.0,0.0,0.0,0.0,0.0,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
0.0,46011,Brookings County,,,,,,14.0,14.0,16.0,15.0,15.0,66.0,69.0,62.0,67.0,63.0,560.0,546.0,532.0,527.0,570.0,334.0,313.0,349.0,357.0,373.0,178.0,162.0,162.0,154.0,125.0,597.0,649.0,708.0,741.0,667.0,187.0,196.0,247.0,211.0,217.0,596.0,583.0,602.0,506.0,621.0,,,,,19.0,238.0,230.0,177.0,212.0,212.0,91.0,100.0,82.0,100.0,102.0,1517.0,1697.0,1669.0,2104.0,2090.0,161.0,180.0,215.0,266.0,236.0,1893.0,1838.0,1800.0,1640.0,1599.0,686.0,584.0,593.0,571.0,583.0,,,2.0,,,,,,,3.0,3.0,3.0,3.0,3.0,5.0,6.0,5.0,5.0,6.0,115.0,106.0,112.0,106.0,122.0,39.0,37.0,36.0,37.0,40.0,18.0,17.0,17.0,17.0,16.0,54.0,54.0,49.0,54.0,59.0,44.0,44.0,43.0,46.0,43.0,76.0,76.0,80.0,79.0,78.0,,,,,3.0,46.0,46.0,49.0,50.0,53.0,17.0,15.0,16.0,15.0,15.0,94.0,92.0,87.0,92.0,93.0,29.0,28.0,28.0,30.0,30.0,89.0,89.0,87.0,88.0,85.0,100.0,98.0,97.0,102.0,104.0,,,3.0,,2084.8,2084.66,2084.82,2084.75,2084.81,44.38,44.38,44.38,44.38,44.38,-96.79,-96.79,-96.79,-96.79,-96.79,,,,,,566.0,634.0,707.0,719.0,716.0,6118.0,6011.0,6209.0,6474.0,6229.0,26731.0,27402.0,29369.0,32503.0,33644.0,17619.0,16814.0,17218.0,18343.0,20637.0,6722.0,5355.0,5396.0,4848.0,4525.0,32643.0,37655.0,40612.0,40873.0,39516.0,5975.0,6356.0,8163.0,7573.0,8369.0,27561.0,30033.0,28616.0,27199.0,33578.0,,,,,1884.0,6424.0,5523.0,6227.0,6758.0,7816.0,1580.0,1509.0,1602.0,1520.0,1766.0,51993.0,57411.0,55590.0,82657.0,89418.0,4098.0,4185.0,4945.0,4529.0,4047.0,27143.0,27090.0,27704.0,25203.0,30854.0,16551.0,15589.0,16102.0,17028.0,18565.0,,,7.0,,0.15,0.17,0.12,0.14,0.12,34,34,35,35,34,2.49,2.41,2.56,2.41,2.45
1.0,46047,Fall River County,3.0,7.0,5.0,3.0,3.0,14.0,11.0,10.0,17.0,16.0,,,,,,78.0,47.0,49.0,57.0,76.0,,4.0,,,,0.0,26.0,27.0,30.0,28.0,40.0,49.0,36.0,33.0,37.0,16.0,12.0,20.0,24.0,18.0,40.0,45.0,38.0,32.0,35.0,,,,,,28.0,27.0,33.0,29.0,44.0,,,,,,0.0,1581.0,1549.0,1601.0,1564.0,85.0,85.0,86.0,76.0,79.0,313.0,264.0,238.0,192.0,195.0,90.0,89.0,100.0,103.0,105.0,,,,,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,,,,,,21.0,20.0,24.0,27.0,26.0,,3.0,,,,3.0,4.0,4.0,4.0,4.0,10.0,13.0,13.0,12.0,11.0,9.0,7.0,10.0,10.0,11.0,11.0,13.0,12.0,13.0,12.0,,,,,,5.0,5.0,5.0,4.0,7.0,,,,,,24.0,21.0,20.0,19.0,18.0,5.0,5.0,4.0,4.0,4.0,39.0,38.0,37.0,34.0,33.0,30.0,28.0,28.0,30.0,28.0,,,,,4530.15,4530.66,4530.66,4530.43,4530.57,43.23,43.23,43.23,43.23,43.23,-103.58,-103.58,-103.58,-103.58,-103.58,164.0,169.0,206.0,184.0,186.0,767.0,822.0,660.0,1301.0,1146.0,,,,,,3719.0,1646.0,1908.0,2809.0,3303.0,,167.0,,,,0.0,1199.0,1226.0,1275.0,1389.0,2399.0,2634.0,2316.0,6150.0,2377.0,468.0,435.0,633.0,646.0,684.0,969.0,1003.0,964.0,999.0,1245.0,,,,,,1117.0,987.0,1059.0,1106.0,1578.0,,,,,,0.0,126719.0,131074.0,134697.0,139580.0,1562.0,1560.0,1714.0,1522.0,2146.0,5110.0,4987.0,4362.0,3676.0,4642.0,1862.0,1822.0,1856.0,1884.0,1917.0,,,,,0.0,0.0,0.0,0.0,0.0,7,7,7,7,7,0.0,0.0,0.0,0.0,0.0
1.0,46057,Hamlin County,,,,13.0,10.0,,,,,,,,,,,233.0,264.0,275.0,290.0,329.0,149.0,143.0,136.0,119.0,133.0,,,,,,52.0,57.0,59.0,57.0,61.0,,,,,,23.0,23.0,23.0,21.0,23.0,,,,,,9.0,8.0,13.0,9.0,50.0,,,,,,153.0,52.0,50.0,96.0,103.0,,,,,,42.0,61.0,84.0,65.0,69.0,43.0,46.0,48.0,49.0,51.0,,,,,,,,3.0,5.0,,,,,,,,,,,57.0,61.0,64.0,60.0,64.0,15.0,14.0,15.0,12.0,14.0,,,,,,14.0,14.0,14.0,14.0,13.0,,,,,,6.0,6.0,6.0,6.0,8.0,,,,,,7.0,8.0,6.0,4.0,5.0,,,,,,10.0,10.0,8.0,8.0,8.0,,,,,,10.0,10.0,12.0,8.0,8.0,15.0,17.0,17.0,18.0,17.0,,,,,1393.7,1393.7,1393.74,1393.7,1393.72,44.68,44.68,44.68,44.68,44.68,-97.2,-97.2,-97.2,-97.2,-97.2,,,,506.0,614.0,,,,,,,,,,,11487.0,13056.0,14025.0,17186.0,19102.0,8455.0,8276.0,7490.0,7501.0,9144.0,,,,,,2377.0,2561.0,2727.0,3182.0,3377.0,,,,,,713.0,747.0,737.0,790.0,794.0,,,,,,240.0,298.0,312.0,438.0,2526.0,,,,,,2188.0,908.0,1668.0,2577.0,2526.0,,,,,,814.0,1092.0,1183.0,839.0,1017.0,808.0,968.0,1121.0,1392.0,1426.0,,,,,0.0,0.0,0.0,0.0,0.0,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0
1.0,46049,Faulk County,,,,,,,,,,,,,,,,17.0,19.0,17.0,19.0,17.0,66.0,27.0,28.0,30.0,24.0,,,,,,23.0,28.0,26.0,21.0,26.0,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,0.0,176.0,163.0,169.0,158.0,,,,,,57.0,45.0,33.0,33.0,25.0,24.0,21.0,21.0,17.0,16.0,,,,,,,,,,,,,,,,,,,,5.0,5.0,6.0,6.0,5.0,12.0,8.0,9.0,9.0,8.0,,,,,,5.0,5.0,5.0,5.0,4.0,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,,,,,,12.0,13.0,11.0,12.0,9.0,10.0,10.0,10.0,9.0,9.0,,,,,2605.2,2605.13,2605.14,2605.16,2605.07,45.07,45.07,45.07,45.07,45.07,-99.17,-99.17,-99.17,-99.17,-99.17,,,,,,,,,,,,,,,,708.0,720.0,700.0,785.0,687.0,2575.0,1213.0,1223.0,1157.0,1288.0,,,,,,1502.0,1463.0,1542.0,1672.0,1885.0,,,,,,148.0,202.0,,,,,,,,,,,,,,,,,,,0.0,6756.0,6665.0,7302.0,7339.0,,,,,,498.0,396.0,438.0,367.0,410.0,458.0,406.0,365.0,322.0,315.0,,,,,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0
1.0,46071,Jackson County,,,,,,,,,,,,,,,,15.0,25.0,14.0,15.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,71.0,50.0,57.0,68.0,0.0,5.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,7.0,6.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,11.0,11.0,11.0,10.0,3.0,3.0,3.0,3.0,,,,,,4845.84,4845.81,4846.25,4846.51,4846.33,28.92,28.92,28.92,28.92,28.92,-96.56,-96.56,-96.56,-96.56,-96.56,,,,,,,,,,,,,,,,808.0,789.0,696.0,547.0,635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677.0,1836.0,1812.0,1502.0,1801.0,0.0,121.0,140.0,140.0,,,,,,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0
0.0,46099,Minnehaha County,12.0,13.0,14.0,6.0,9.0,0.0,49.0,,69.0,91.0,196.0,207.0,198.0,210.0,229.0,5834.0,6332.0,6138.0,6681.0,6945.0,6133.0,6092.0,6172.0,6904.0,6402.0,3793.0,3488.0,3149.0,2842.0,2564.0,12202.0,11336.0,10973.0,10912.0,10928.0,1529.0,1491.0,1444.0,1415.0,1342.0,4395.0,4324.0,4000.0,3982.0,4441.0,4075.0,3819.0,3802.0,3673.0,3732.0,4062.0,4397.0,3985.0,3933.0,4819.0,2568.0,2557.0,2523.0,2454.0,2308.0,25964.0,25637.0,25594.0,27679.0,26991.0,2337.0,2703.0,2800.0,2901.0,2231.0,11651.0,12106.0,12269.0,11031.0,10009.0,4143.0,4127.0,4136.0,4193.0,4168.0,5.0,12.0,15.0,10.0,6.0,6.0,5.0,4.0,7.0,4.0,3.0,,8.0,7.0,8.0,8.0,8.0,9.0,11.0,641.0,666.0,665.0,689.0,692.0,385.0,391.0,380.0,383.0,364.0,113.0,113.0,115.0,112.0,116.0,440.0,431.0,434.0,425.0,429.0,271.0,277.0,288.0,302.0,325.0,491.0,504.0,507.0,518.0,541.0,52.0,52.0,51.0,51.0,51.0,288.0,293.0,310.0,304.0,336.0,54.0,52.0,52.0,49.0,53.0,480.0,492.0,503.0,538.0,557.0,160.0,169.0,174.0,176.0,178.0,486.0,503.0,523.0,510.0,530.0,537.0,544.0,540.0,548.0,564.0,6.0,3.0,9.0,4.0,2107.72,2107.7,2107.73,2107.92,2107.73,43.67,43.67,43.67,43.67,43.67,-96.78,-96.78,-96.78,-96.78,-96.78,774.0,1015.0,968.0,400.0,534.0,0.0,2570.0,,4405.0,5062.0,18420.0,20524.0,20789.0,21473.0,24890.0,334098.0,349751.0,368613.0,401026.0,450561.0,360959.0,370066.0,392951.0,433126.0,425728.0,237968.0,198614.0,180000.0,161841.0,162497.0,693652.0,704408.0,744158.0,807709.0,864750.0,68967.0,65929.0,67435.0,68417.0,75577.0,221869.0,231952.0,216988.0,245629.0,291484.0,217758.0,236502.0,241139.0,259819.0,285186.0,126966.0,133571.0,137227.0,143238.0,215874.0,55731.0,55782.0,57471.0,57372.0,60173.0,1559843.0,1681785.0,1725937.0,1813567.0,1925356.0,41728.0,46830.0,46980.0,44967.0,49758.0,196666.0,216089.0,209615.0,175414.0,208595.0,127547.0,129182.0,134650.0,137197.0,151448.0,352.0,147.0,393.0,151.0,1.95,1.97,2.04,1.99,2.04,184,187,189,192,195,2.29,2.26,2.29,2.35,2.32
1.0,46033,Custer County,7.0,9.0,13.0,5.0,7.0,0.0,42.0,35.0,34.0,28.0,38.0,38.0,40.0,38.0,39.0,123.0,125.0,136.0,126.0,136.0,,,,,6.0,29.0,26.0,26.0,26.0,18.0,42.0,44.0,38.0,34.0,35.0,22.0,29.0,24.0,28.0,27.0,48.0,47.0,60.0,63.0,75.0,,,,,,15.0,25.0,29.0,28.0,30.0,,,3.0,4.0,5.0,167.0,156.0,127.0,214.0,186.0,130.0,137.0,148.0,144.0,135.0,297.0,317.0,297.0,272.0,339.0,75.0,78.0,71.0,80.0,80.0,,,,,5.0,7.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,40.0,46.0,43.0,44.0,47.0,,,,,3.0,6.0,6.0,6.0,6.0,7.0,12.0,11.0,11.0,12.0,13.0,11.0,13.0,12.0,13.0,13.0,24.0,22.0,24.0,22.0,22.0,,,,,,16.0,16.0,17.0,16.0,17.0,,,3.0,3.0,3.0,19.0,19.0,18.0,16.0,15.0,10.0,9.0,10.0,9.0,9.0,63.0,62.0,62.0,64.0,73.0,22.0,22.0,20.0,22.0,27.0,,,,,4037.97,4038.11,4038.13,4038.29,4038.16,38.11,38.11,38.11,38.11,38.11,-105.35,-105.35,-105.35,-105.35,-105.35,338.0,605.0,458.0,338.0,265.0,0.0,1526.0,1501.0,1494.0,1571.0,3131.0,3230.0,3590.0,3537.0,3647.0,4234.0,4683.0,5087.0,5034.0,5713.0,,,,,192.0,873.0,900.0,886.0,796.0,768.0,2326.0,2518.0,2255.0,2384.0,2828.0,747.0,684.0,759.0,1007.0,1168.0,2094.0,1933.0,2560.0,2925.0,3301.0,,,,,,967.0,845.0,1004.0,934.0,869.0,,,102.0,30.0,114.0,10220.0,7933.0,6259.0,12306.0,11525.0,5114.0,5530.0,5951.0,5493.0,6305.0,9994.0,11397.0,11431.0,10653.0,15079.0,1667.0,1713.0,1565.0,1778.0,1804.0,,,,,0.0,0.0,0.0,0.0,0.0,9,9,9,9,8,0.0,0.0,0.0,0.0,0.0
0.0,46069,Hyde County,,,,,,,,,,,0.0,5.0,6.0,6.0,5.0,20.0,24.0,17.0,17.0,18.0,73.0,66.0,59.0,57.0,58.0,,,,,,0.0,20.0,20.0,19.0,20.0,,6.0,,,,4.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,3.0,3.0,3.0,11.0,2.0,14.0,9.0,9.0,7.0,4.0,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,7.0,8.0,8.0,8.0,8.0,,,,,,3.0,3.0,3.0,3.0,3.0,,3.0,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,3.0,3.0,4.0,3.0,7.0,7.0,7.0,6.0,5.0,,,,,2243.48,2243.78,2243.73,2243.69,2243.77,35.39,35.39,35.39,35.39,35.39,-76.13,-76.13,-76.13,-76.13,-76.13,,,,,,,,,,,0.0,556.0,577.0,390.0,404.0,1009.0,968.0,1010.0,1228.0,1349.0,4025.0,3838.0,4168.0,4297.0,4620.0,,,,,,0.0,903.0,808.0,842.0,886.0,,24.0,,,,86.0,135.0,137.0,,,,,,,,,,,,,,,,,,,,,,1786.0,,,,,,44.0,45.0,72.0,66.0,64.0,200.0,117.0,101.0,93.0,78.0,,,,,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
1.0,46025,Clark County,2.0,5.0,8.0,6.0,4.0,,,,,,19.0,16.0,18.0,18.0,17.0,50.0,49.0,53.0,48.0,54.0,63.0,63.0,37.0,46.0,47.0,,,,,,26.0,24.0,19.0,24.0,24.0,,,,,,28.0,21.0,19.0,16.0,18.0,,,,,,,,,,,,,,,,86.0,54.0,56.0,91.0,97.0,0.0,17.0,23.0,26.0,6.0,66.0,55.0,53.0,60.0,55.0,34.0,33.0,34.0,41.0,43.0,,,,,5.0,5.0,6.0,4.0,4.0,,,,,,4.0,4.0,4.0,4.0,4.0,18.0,20.0,20.0,17.0,18.0,11.0,11.0,10.0,11.0,10.0,,,,,,6.0,5.0,5.0,5.0,5.0,,,,,,11.0,10.0,10.0,7.0,8.0,,,,,,,,,,,,,,,,9.0,10.0,11.0,10.0,10.0,3.0,4.0,4.0,5.0,5.0,10.0,9.0,10.0,12.0,12.0,13.0,12.0,11.0,13.0,13.0,,,,,2505.59,2505.64,2505.63,2505.78,2505.68,39.33,39.33,39.33,39.33,39.33,-87.78,-87.78,-87.78,-87.78,-87.78,159.0,246.0,336.0,186.0,131.0,,,,,,1292.0,1297.0,1268.0,906.0,716.0,1890.0,1867.0,2111.0,1876.0,2023.0,2896.0,2791.0,1559.0,2052.0,2309.0,,,,,,1200.0,1309.0,1398.0,1474.0,1560.0,,,,,,897.0,746.0,735.0,652.0,736.0,,,,,,,,,,,,,,,,2402.0,1945.0,2549.0,3122.0,3266.0,0.0,175.0,238.0,388.0,357.0,882.0,771.0,656.0,576.0,639.0,938.0,885.0,888.0,1117.0,1032.0,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
0.0,46067,Hutchinson County,25.0,20.0,20.0,18.0,24.0,,,,,,,,,,,79.0,75.0,75.0,69.0,96.0,373.0,338.0,362.0,371.0,364.0,,,13.0,11.0,10.0,107.0,107.0,109.0,96.0,94.0,,,,,,29.0,29.0,37.0,38.0,47.0,,,,,,33.0,33.0,32.0,29.0,34.0,,,,,,637.0,518.0,475.0,600.0,581.0,1.0,,,,3.0,93.0,101.0,94.0,87.0,75.0,115.0,112.0,99.0,96.0,112.0,,,,,4.0,3.0,3.0,3.0,3.0,,,,,,,,,,,26.0,27.0,22.0,22.0,25.0,26.0,26.0,25.0,25.0,27.0,,,3.0,3.0,3.0,19.0,20.0,20.0,19.0,18.0,,,,,,11.0,11.0,12.0,12.0,14.0,,,,,,4.0,4.0,6.0,6.0,5.0,,,,,,16.0,16.0,15.0,16.0,19.0,4.0,,,,3.0,20.0,16.0,16.0,16.0,16.0,34.0,33.0,32.0,33.0,35.0,,,,,2109.04,2109.05,2109.05,2109.1,2109.04,35.81,35.81,35.81,35.81,35.81,-101.35,-101.35,-101.35,-101.35,-101.35,393.0,399.0,387.0,332.0,1071.0,,,,,,,,,,,3630.0,3677.0,3575.0,3634.0,4549.0,16561.0,16276.0,16808.0,18769.0,19731.0,,,404.0,472.0,481.0,5488.0,5671.0,6369.0,5924.0,5799.0,,,,,,1220.0,1345.0,1574.0,1600.0,2149.0,,,,,,621.0,606.0,613.0,684.0,676.0,,,,,,21797.0,18494.0,19131.0,23256.0,23090.0,133.0,,,,97.0,905.0,858.0,1093.0,914.0,850.0,2289.0,2420.0,2364.0,2698.0,2808.0,,,,,0.0,0.0,0.0,0.0,0.0,7,7,7,7,7,0.0,0.0,0.0,0.0,0.0
1.0,46077,Kingsbury County,,,,,,,,,,,,28.0,29.0,29.0,26.0,110.0,127.0,175.0,109.0,186.0,100.0,104.0,109.0,107.0,105.0,11.0,10.0,,,,118.0,117.0,122.0,121.0,120.0,0.0,,,6.0,,18.0,18.0,16.0,15.0,12.0,,,,,,,,0.0,2.0,1.0,,,,,,185.0,151.0,167.0,236.0,244.0,14.0,13.0,16.0,14.0,14.0,52.0,48.0,49.0,30.0,35.0,42.0,50.0,45.0,45.0,51.0,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,22.0,24.0,22.0,25.0,25.0,11.0,11.0,11.0,13.0,13.0,3.0,3.0,,,,16.0,16.0,16.0,16.0,17.0,4.0,,,3.0,,6.0,3.0,3.0,3.0,3.0,,,,,,,,4.0,5.0,3.0,,,,,,11.0,10.0,14.0,17.0,17.0,4.0,4.0,4.0,5.0,6.0,7.0,10.0,7.0,7.0,8.0,24.0,24.0,25.0,26.0,23.0,,,,,2237.09,2237.17,2237.08,2237.04,2237.08,44.36,44.36,44.36,44.36,44.36,-97.49,-97.49,-97.49,-97.49,-97.49,,,,,,,,,,,,1740.0,1750.0,1757.0,1808.0,8371.0,9440.0,8634.0,8765.0,11738.0,5718.0,6142.0,6251.0,6183.0,6556.0,248.0,178.0,,,,6334.0,6487.0,6622.0,7066.0,7719.0,0.0,,,89.0,,817.0,982.0,916.0,813.0,757.0,,,,,,,,24.0,52.0,132.0,,,,,,5310.0,4730.0,5277.0,7919.0,8290.0,411.0,431.0,439.0,432.0,563.0,568.0,1076.0,371.0,379.0,516.0,841.0,848.0,893.0,898.0,935.0,,,,,0.0,0.0,0.0,0.0,0.0,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
