target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,45003,Aiken County,116.0,104.0,159.0,123.0,132.0,81.0,82.0,96.0,91.0,93.0,504.0,493.0,438.0,431.0,437.0,2951,2735,2498,2566,2244,634.0,646.0,713.0,891.0,845.0,580.0,534.0,520.0,460.0,400.0,1117,1089,1057,1044,1059,348.0,340.0,377.0,426.0,404.0,2020,1897,2067.0,2545,2592,82.0,83.0,153.0,133.0,83.0,7533,7662.0,8536.0,9238.0,11058.0,513.0,497.0,501.0,497.0,479.0,6638,6415,6452,6678,5895,865.0,837.0,935.0,863.0,739.0,5268,5696,5893,5834,5354,2144,2242,2387,2358,2248,2.0,0.0,5.0,37.0,22.0,26.0,27.0,29.0,28.0,31.0,4.0,5.0,6.0,4.0,4.0,18.0,20.0,18.0,13.0,13.0,239,265,250,259,274,74.0,75.0,78.0,73.0,69.0,33.0,34.0,33.0,36.0,30.0,200,193,197,200,200,107.0,115.0,115.0,121.0,133.0,232,222,237.0,243,268,9.0,7.0,6.0,8.0,7.0,145,146.0,151.0,157.0,170.0,30.0,28.0,27.0,27.0,26.0,343,328,325,346,359,57.0,55.0,60.0,57.0,59.0,287,288,296,285,283,336,339,345,334,339,3.0,3.0,4.0,5.0,3.0,2798.63,2797.51,2797.63,2797.34,2797.68,33.57,33.57,33.57,33.57,33.57,-81.62,-81.62,-81.62,-81.62,-81.62,4582.0,4435.0,5262.0,5463.0,5674.0,5778.0,6330.0,7036.0,6088.0,6066.0,33249.0,33138.0,29861.0,30491.0,35217.0,162538,147923,136072,139485,121881,28512.0,29452.0,32323.0,41868.0,43457.0,29804.0,27199.0,23494.0,22971.0,20422.0,59765,58713,58153,66891,70954,13064.0,13831.0,14992.0,17227.0,19187.0,129881,139390,166991.0,197490,286668,7962.0,9122.0,9001.0,11057.0,8766.0,597791,628984.0,706918.0,755719.0,881818.0,12547.0,12282.0,12999.0,13460.0,15832.0,226703,237831,253733,262541,263963,15185.0,15151.0,16562.0,14701.0,17626.0,75987,82712,87275,80132,90963,48873,52427,62019,62361,68650,33.0,110.0,172.0,384.0,321.0,0.04,0.0,0.04,0.09,0.04,166,167,168,170,168,1.85,0.0,1.83,1.7,2.05
1.0,45005,Allendale County,73.0,73.0,102.0,90.0,91.0,,,,,,,,,,,29,29,32,37,28,56.0,51.0,54.0,53.0,61.0,11.0,12.0,10.0,11.0,11.0,42,40,39,35,32,0.0,5.0,6.0,6.0,11.0,35,33,33.0,33,34,,,,,,6,,,,,,,,,,310,332,383,351,332,,,,,,58,55,57,54,54,7,14,19,17,13,,,,,,9.0,8.0,8.0,8.0,8.0,,,,,,,,,,,6,6,4,5,5,8.0,7.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,9,8,8,7,7,3.0,3.0,3.0,3.0,3.0,7,7,7.0,8,8,,,,,,3,,,,,,,,,,16,16,15,13,13,,,,,,7,7,7,8,10,9,8,9,8,7,,,,,,1068.66,1068.7,1068.66,1068.33,1068.26,32.96,32.96,32.96,32.96,32.96,-81.34,-81.34,-81.34,-81.34,-81.34,3107.0,3189.0,4373.0,4303.0,3778.0,,,,,,,,,,,744,767,856,1177,854,2591.0,2642.0,2760.0,3022.0,2920.0,455.0,392.0,427.0,407.0,407.0,1693,1661,1660,1668,1753,0.0,114.0,125.0,126.0,147.0,1463,1809,1884.0,1962,1793,,,,,,44,,,,,,,,,,12320,13821,14599,15277,13459,,,,,,641,664,751,720,778,258,219,389,206,169,,,,,,0.0,0.0,0.0,0.0,0.0,9,9,9,9,8,0.0,0.0,0.0,0.0,0.0
1.0,45071,Newberry County,265.0,259.0,246.0,245.0,230.0,,,,,,0.0,,,,,660,666,691,791,746,319.0,309.0,303.0,373.0,364.0,21.0,27.0,47.0,29.0,21.0,179,179,183,175,166,72.0,71.0,71.0,67.0,66.0,169,158,163.0,178,163,36.0,37.0,35.0,33.0,31.0,304,253.0,341.0,303.0,480.0,0.0,415.0,447.0,480.0,408.0,1497,1439,1474,1448,1335,83.0,92.0,92.0,78.0,67.0,940,897,972,1155,1032,356,372,358,377,369,,,,,,20.0,21.0,21.0,21.0,19.0,,,,,,3.0,,,,,72,78,83,90,89,34.0,32.0,32.0,32.0,32.0,10.0,10.0,10.0,10.0,8.0,52,54,53,52,50,23.0,22.0,24.0,24.0,26.0,50,46,48.0,45,46,4.0,3.0,3.0,3.0,3.0,34,32.0,34.0,33.0,38.0,8.0,9.0,8.0,8.0,7.0,67,68,68,69,65,6.0,6.0,7.0,8.0,8.0,67,66,65,63,64,101,102,101,104,107,,,,,,1676.38,1676.4,1676.37,1676.4,1676.39,34.33,34.33,34.33,34.33,34.33,-81.58,-81.58,-81.58,-81.58,-81.58,10449.0,10724.0,10413.0,10964.0,11783.0,,,,,,0.0,,,,,28761,31295,33812,35788,36531,16975.0,15889.0,18835.0,15962.0,20986.0,1223.0,1170.0,1316.0,1219.0,995.0,6964,7091,6687,6627,7619,2755.0,2944.0,2940.0,2799.0,2934.0,6166,5925,6382.0,6672,6716,3456.0,3911.0,3436.0,3316.0,3140.0,8081,6900.0,8082.0,8731.0,12775.0,0.0,10273.0,10887.0,11078.0,11811.0,51039,52625,54136,55125,51197,865.0,834.0,956.0,975.0,1049.0,12870,12507,12550,13634,14229,9316,9551,9911,10330,10770,,,,,,0.0,0.0,0.0,0.0,0.0,38,38,38,38,38,0.0,0.0,0.0,0.0,0.0
1.0,45037,Edgefield County,165.0,144.0,98.0,96.0,99.0,,,,,,0.0,45.0,38.0,,,198,222,203,241,271,449.0,483.0,573.0,501.0,539.0,12.0,13.0,14.0,9.0,9.0,51,53,48,43,40,26.0,16.0,20.0,26.0,33.0,57,60,68.0,64,71,,,,,,158,174.0,202.0,188.0,168.0,,33.0,54.0,66.0,67.0,503,446,469,699,554,65.0,62.0,55.0,29.0,25.0,202,234,234,211,224,419,394,385,426,365,,,,,,12.0,10.0,9.0,9.0,10.0,,,,,,3.0,3.0,3.0,,,37,36,37,44,45,12.0,12.0,11.0,10.0,10.0,3.0,3.0,4.0,4.0,4.0,18,17,17,14,12,11.0,12.0,11.0,15.0,17.0,17,18,18.0,19,20,,,,,,16,18.0,21.0,22.0,24.0,,3.0,3.0,3.0,3.0,21,23,26,29,26,4.0,4.0,3.0,3.0,4.0,26,24,24,22,21,46,44,43,45,52,,,,,,1312.47,1313.35,1313.31,1313.2,1313.19,33.76,33.76,33.76,33.76,33.76,-81.98,-81.98,-81.98,-81.98,-81.98,6572.0,6710.0,6879.0,7082.0,6618.0,,,,,,0.0,3353.0,3134.0,,,8463,8317,8494,9429,10016,25732.0,28057.0,39878.0,32018.0,39931.0,310.0,338.0,371.0,419.0,175.0,2025,1914,1843,1758,1693,787.0,923.0,827.0,892.0,1010.0,3094,3371,2843.0,3126,2924,,,,,,5584,5624.0,5885.0,5524.0,5837.0,,892.0,1226.0,1432.0,1668.0,15788,17057,11429,21968,19864,1116.0,1445.0,1076.0,475.0,523.0,2530,2958,3094,2755,3089,17390,16720,17394,16624,15112,,,,,,0.0,0.0,0.0,0.0,0.0,27,27,27,27,26,0.0,0.0,0.0,0.0,0.0
1.0,45023,Chester County,77.0,48.0,50.0,65.0,71.0,,,,,,0.0,12.0,12.0,10.0,14.0,394,447,329,369,367,136.0,162.0,117.0,187.0,215.0,194.0,205.0,207.0,221.0,190.0,139,138,128,136,128,21.0,25.0,27.0,29.0,33.0,131,140,138.0,130,144,,,,,,124,316.0,154.0,192.0,212.0,29.0,30.0,36.0,37.0,35.0,625,649,589,615,603,68.0,71.0,81.0,86.0,50.0,680,731,650,669,661,312,284,292,292,271,,,,,,9.0,7.0,7.0,7.0,7.0,,,,,,10.0,6.0,6.0,6.0,7.0,47,48,45,45,48,14.0,18.0,18.0,18.0,18.0,9.0,9.0,9.0,10.0,8.0,31,29,28,29,28,12.0,13.0,14.0,15.0,14.0,30,30,31.0,29,29,,,,,,21,24.0,26.0,28.0,30.0,3.0,3.0,3.0,3.0,3.0,51,48,42,45,45,6.0,6.0,6.0,6.0,7.0,47,44,48,48,49,86,82,86,84,84,,,,,,1518.22,1518.21,1518.21,1518.04,1518.12,39.98,39.98,39.98,39.98,39.98,-75.77,-75.77,-75.77,-75.77,-75.77,3708.0,2638.0,3328.0,3285.0,4358.0,,,,,,0.0,1259.0,1310.0,1310.0,1439.0,18652,19562,18755,19881,25005,9408.0,11558.0,12385.0,12880.0,15859.0,11951.0,16447.0,16973.0,11789.0,12408.0,5595,5785,5706,5727,5488,857.0,900.0,1155.0,1098.0,1390.0,4623,4716,5117.0,4998,7405,,,,,,6227,7670.0,5504.0,5171.0,8416.0,460.0,519.0,631.0,586.0,609.0,25769,27030,20245,21736,22938,2396.0,2515.0,2675.0,2223.0,1489.0,9306,9791,10016,10475,11399,6277,6382,6610,6913,6626,,,,,,0.0,0.0,0.0,0.0,0.0,32,32,32,32,32,0.0,0.0,0.0,0.0,0.0
0.0,45027,Clarendon County,218.0,195.0,241.0,165.0,178.0,,,,,,6.0,,,,,79,100,106,101,106,94.0,96.0,98.0,106.0,100.0,,,,,,230,223,223,222,207,23.0,34.0,27.0,29.0,29.0,77,79,88.0,88,91,,,,,,111,71.0,61.0,59.0,70.0,88.0,92.0,113.0,109.0,116.0,1304,1299,1311,1268,1257,69.0,83.0,76.0,67.0,49.0,726,763,811,700,711,321,314,314,315,308,,,,,,13.0,13.0,12.0,13.0,13.0,,,,,,3.0,,,,,30,31,30,33,31,16.0,16.0,15.0,16.0,17.0,,,,,,42,42,41,39,37,14.0,16.0,14.0,16.0,16.0,23,24,25.0,27,30,,,,,,19,18.0,18.0,19.0,20.0,7.0,8.0,8.0,8.0,6.0,37,39,42,39,40,9.0,8.0,8.0,7.0,7.0,57,59,56,56,53,59,59,61,64,63,,,,,,1801.7,1801.7,1801.63,1801.93,1801.75,33.67,33.67,33.67,33.67,33.67,-80.23,-80.23,-80.23,-80.23,-80.23,6108.0,6883.0,6308.0,6686.0,7060.0,,,,,,113.0,,,,,2685,3054,3248,3347,3776,4257.0,4460.0,4622.0,5905.0,5325.0,,,,,,9478,8976,9675,10071,10423,519.0,631.0,607.0,624.0,744.0,5082,4769,3196.0,3670,4440,,,,,,1756,1121.0,1196.0,1610.0,3086.0,1562.0,1775.0,2071.0,2519.0,2275.0,35421,38970,40758,41962,43307,1400.0,1673.0,1573.0,1117.0,962.0,9454,9826,9762,8814,10089,6504,6423,6661,6768,7166,,,,,,0.02,0.02,0.02,0.02,0.02,34,34,34,34,32,5.29,5.04,4.8,4.7,4.23
1.0,45029,Colleton County,387.0,396.0,340.0,361.0,354.0,,,,16.0,14.0,0.0,69.0,62.0,60.0,54.0,451,498,519,503,498,223.0,221.0,200.0,174.0,180.0,119.0,116.0,114.0,118.0,124.0,264,240,246,240,242,99.0,105.0,110.0,114.0,113.0,205,177,178.0,169,191,,,,,,230,203.0,221.0,224.0,247.0,75.0,84.0,93.0,87.0,79.0,1327,1362,1247,1268,1172,91.0,101.0,118.0,106.0,97.0,1521,1429,1362,1397,1220,277,254,249,235,217,,,1.0,2.0,,32.0,33.0,31.0,31.0,38.0,,,,3.0,3.0,4.0,4.0,4.0,4.0,4.0,66,72,71,71,74,32.0,32.0,29.0,26.0,27.0,12.0,12.0,11.0,10.0,10.0,54,53,54,51,51,44.0,45.0,44.0,42.0,39.0,48,47,48.0,49,51,,,,,,34,31.0,35.0,30.0,31.0,7.0,6.0,5.0,3.0,3.0,74,74,73,75,76,10.0,10.0,12.0,12.0,9.0,80,73,75,79,75,66,66,67,64,71,,,3.0,3.0,,2786.29,2786.28,2786.26,2785.55,2786.28,32.86,32.86,32.86,32.86,32.86,-80.68,-80.68,-80.68,-80.68,-80.68,13374.0,14935.0,15214.0,16175.0,16036.0,,,,1217.0,1241.0,0.0,5452.0,5365.0,5657.0,5337.0,18611,21178,22206,23174,23699,10917.0,10579.0,9748.0,8654.0,9835.0,7079.0,8333.0,7936.0,5913.0,8763.0,11701,11507,12073,12445,13123,4134.0,4122.0,4132.0,4428.0,5622.0,14069,15830,18356.0,17904,19599,,,,,,7752,7532.0,8507.0,8624.0,12474.0,1882.0,2000.0,2178.0,2231.0,2394.0,58653,61571,58345,55767,63473,3281.0,3616.0,3983.0,3826.0,3845.0,25167,24961,25951,23398,28930,4820,5145,5074,4528,4662,,,52.0,17.0,,0.0,0.0,0.0,0.0,0.0,38,38,38,38,39,0.0,0.0,0.0,0.0,0.0
1.0,45067,Marion County,36.0,31.0,31.0,30.0,24.0,,,,13.0,14.0,26.0,28.0,26.0,23.0,21.0,138,154,159,151,158,310.0,380.0,346.0,311.0,292.0,0.0,19.0,20.0,12.0,10.0,310,324,314,294,310,41.0,50.0,44.0,45.0,46.0,95,75,66.0,71,67,36.0,89.0,37.0,32.0,25.0,464,459.0,446.0,56.0,128.0,,,,,40.0,712,722,957,1145,810,33.0,14.0,23.0,,12.0,824,870,835,836,697,279,290,288,293,252,,,,,,6.0,6.0,7.0,7.0,7.0,,,,3.0,3.0,5.0,4.0,4.0,3.0,3.0,31,32,30,31,34,21.0,22.0,24.0,22.0,20.0,5.0,6.0,6.0,5.0,5.0,45,47,45,39,38,15.0,15.0,15.0,15.0,15.0,26,23,21.0,24,25,4.0,4.0,4.0,4.0,4.0,18,17.0,16.0,18.0,17.0,,,,,3.0,71,63,65,61,57,4.0,4.0,4.0,,3.0,46,46,47,47,47,62,59,56,62,67,,,,,,1279.85,1279.89,1279.88,1279.92,1279.94,32.79,32.79,32.79,32.79,32.79,-94.34,-94.34,-94.34,-94.34,-94.34,2390.0,2060.0,2166.0,1999.0,2324.0,,,,527.0,590.0,2175.0,2513.0,2482.0,2325.0,2295.0,4204,4565,5239,5295,6175,13307.0,14018.0,14602.0,14960.0,13319.0,0.0,1133.0,1200.0,1174.0,840.0,13609,14066,14774,15443,16293,1189.0,1304.0,1344.0,1313.0,1466.0,2138,2280,2493.0,2386,2621,3047.0,2914.0,2926.0,2779.0,2116.0,10698,9981.0,9985.0,2390.0,4132.0,,,,,1352.0,24783,26227,31686,32532,22569,246.0,297.0,310.0,,268.0,10193,10863,10864,10253,9929,4692,4770,5208,5446,5659,,,,,,0.0,0.0,0.0,0.0,0.0,32,32,31,31,30,0.0,0.0,0.0,0.0,0.0
1.0,45085,Sumter County,0.0,112.0,112.0,124.0,125.0,,,,,,150.0,146.0,113.0,112.0,107.0,3642,4319,5173,4751,3906,646.0,740.0,679.0,534.0,528.0,293.0,289.0,235.0,275.0,229.0,748,740,752,775,743,259.0,276.0,320.0,291.0,296.0,881,788,881.0,874,863,166.0,161.0,129.0,91.0,73.0,2434,1861.0,1608.0,1464.0,1661.0,705.0,707.0,679.0,659.0,561.0,5099,5142,4846,4902,4974,253.0,293.0,286.0,274.0,206.0,3530,3768,4073,4204,3554,1720,1583,1688,1747,1682,3.0,4.0,4.0,6.0,19.0,5.0,4.0,4.0,5.0,6.0,,,,,,9.0,9.0,8.0,8.0,7.0,156,160,158,160,160,69.0,68.0,63.0,58.0,59.0,17.0,18.0,19.0,22.0,20.0,109,111,108,112,111,66.0,65.0,61.0,54.0,59.0,140,125,125.0,129,130,9.0,7.0,6.0,6.0,5.0,73,76.0,82.0,81.0,82.0,31.0,31.0,31.0,33.0,35.0,193,199,197,199,205,15.0,20.0,23.0,22.0,22.0,171,179,174,175,177,222,215,223,215,219,3.0,5.0,3.0,4.0,4.0,1766.9,1766.91,1766.91,1766.56,1766.92,28.67,28.67,28.67,28.67,28.67,-82.08,-82.08,-82.08,-82.08,-82.08,0.0,7572.0,7490.0,9274.0,9060.0,,,,,,9385.0,10699.0,8009.0,9691.0,9618.0,213811,274115,300553,309517,284361,30440.0,33330.0,29919.0,29658.0,30307.0,17606.0,17261.0,17301.0,17185.0,17504.0,36421,38047,40319,43954,45073,8603.0,9056.0,11024.0,10956.0,11718.0,40829,42474,45555.0,52745,53259,13776.0,14087.0,11842.0,10755.0,9000.0,52450,53670.0,45171.0,48287.0,57298.0,18668.0,19111.0,18819.0,19020.0,19680.0,211952,199149,199035,197277,207280,3414.0,3654.0,3544.0,3094.0,3910.0,46318,50882,52478,49588,57526,39514,37566,46113,48640,50292,48.0,92.0,96.0,117.0,124.0,0.08,0.08,0.03,0.03,0.09,107,107,107,107,106,1.78,1.65,1.65,2.0,1.51
